College,Long,Lat,Location,Founded
Berry College,-85.181,34.288,"Mount Berry, Georgia",Founded 2016
Bowling Green University,-83.632,41.377,"Bowling Green, Ohio",Founded in 2004
Central Michigan University,-84.776,43.588,"Mount Pleasant, Michigan",Founded 2003
Colorado School of Mines,-105.223,39.750,"Golden, Colorado",Founded 1999
Columbus State University,-84.941,32.502,"Columbus, Georgia",Founded 2011
Eastern Illinois University,-88.176,39.470,"Charleston, Illinois",Founded 2013
Eastern Kentucky University,-84.300,37.736,"Richmond, Kentucky",Founded 2016
Eastern Michigan University,-83.624,42.250,"Ypsilanti, Michigan",Founded 2006
Florida Atlantic University,-80.102,26.371,"Boca Raton, Florida",Founded 2014
Florida State University,-84.302,30.443,"Tallahassee, Florida",Founded 2013
Georgia Southwestern State University,-84.217,32.056,"Americus, Georgia",Founded 2013
Georgia State University,-84.387,33.752,"Atlanta, Georgia",Founded 2005
James Madison University,-78.869,38.436,"Harrisonburg, Virginia",Founded in 1998
Metropolitan State University of Denver,-105.004,39.744,"Denver, Colorado",Founded 2013
Middle Tennessee State University,-86.364,35.847,"Murfreesboro, Tennessee",Founded 2014
Murray State University,-88.322,36.619,"Murray, Kentucky",Founded 2016
Northern Arizona University,-111.655,35.192,"Flagstaff, Arizona",Founded 2017
Northern Illinois University,-88.77,41.935,"Dekalb, Illinois",Founded 2016
Northern Kentucky University,-84.464,39.032,"Highland Heights, Kentucky",Founded 2015
Ohio State University,-83.012,40,"Columbus, Ohio",Founded in 2004
SUNY Geneseo,"

-77.822",42.798,"Geneseo, New York",Founded 2015
SUNY New Paltz,-74.087,41.74,"New Paltz, New York",Founded 2017
Sonoma State University,-122.674,38.341,"Rohnert Park, California",Founded 2016
Temple University,-75.157,39.981,"Philadelphia, Pennsylvania",Founded 2006
University of Alaska Anchorage,-149.832,61.189,"Anchorage, Alaska",Founded 2016
University of California - Davis,-121.758,38.539,"Davis, California",Founded 2010
University of Georgia,-83.377,33.946,"Athens, Georgia",Founded 2011
University of Kentucky,-84.502,38.032,"Lexington, Kentucky",Founded 2015
University of Nevada - Reno,-119.816,39.546,"Reno, Nevada",Founded 2008
University of North Georgia,-83.867,34.236,"Oakwood, Georgia",Founded 2015
University of Northern Colorado,-104.693,40.412,"Greeley, Colorado",Founded 2014
University of South Dakota,-96.927,42.786,"Vermillion, South Dakota",Founded 2013
University of South Florida,-82.415,28.063,"Tampa, Florida",Founded 2016
University of St. Thomas,-93.189,44.945,"St. Paul, Minnesotta",Founded 2015
University of Tennessee at Chattanooga,-85.295,35.046,"Chattanooga, Tennessee",Founded 2014
University of Tennessee at Martin,-88.863,36.339,"Martin, Tennessee",Founded 2016
University of West Georgia,-85.099,33.574,"Carrollton, Georgia",Founded 2010
University of Wisconsin - Whitewater,-88.744,42.838,"Whitewater, Wisconsin",Founded 2015
Wayne State University,-83.069,42.357,"Detroit, Michigan",Founded 2012
Western Kentucky University,-86.459,36.985,"Bowling Green, Kentucky",Founded 2016
Western Michigan University,-85.614,42.284,"Kalamazoo, Michigan",Founded 2015
Wright State University,-84.063,39.782,"Dayton, Ohio",Founded in 1996
